,Class Title,Typed Notes,Python Reading Material Link,Reference Code (if applicable),Python Video Content
Backend LLD 1,Backend LLD: OOP-1: Intro to OOP,https://github.com/kanmaytacker/fundamentals/blob/sql-march-2023/oop/notes/01-oop-introduction.md,https://hackmd.io/@scaler-topics-main/B1eocxKmT,,https://drive.google.com/file/d/1NEsSumdW29NDAzpG84B-keSdlU9qOjSI/view?usp=drive_link
,Backend LLD: OOP-2: Access Modifiers and Constructors,https://github.com/kanmaytacker/fundamentals/blob/sql-march-2023/oop/notes/02-access-modifiers-constructors.md,https://hackmd.io/@scaler-topics-main/r1kx3eFm6,,https://drive.google.com/file/d/1_-FVV4rSw6YPW1JEM9GOucBfVShCz-pC/view?usp=drive_link
,Backend LLD: 2.5 Typing in Python (Extra),NA,-,-,https://drive.google.com/file/d/1ju88U8MjZckDkiieXGhI1CwWHZB4WOPB/view?usp=drive_link
,Backend LLD: OOP-3: Inheritance and Polymorphism,https://github.com/kanmaytacker/fundamentals/blob/sql-march-2023/oop/notes/03-inheritance-polymorphism.md,https://hackmd.io/@scaler-topics-main/H1pT3xtQp,,https://drive.google.com/file/d/15YwoGsHCMTSZsHuB8xKOKzrVjARXSU9A/view?usp=drive_link
,"Backend LLD: OOP-4: Interfaces, Abstract Classes, Composition, Association",https://github.com/kanmaytacker/fundamentals/blob/sql-march-2023/oop/notes/05-interfaces-abstract.md,https://drive.google.com/file/d/1jbSBIVC2EB-BBfO_ucc44CUhCGuSilvu/view?usp=drive_link,,https://drive.google.com/file/d/10nV4-1hgYY3PydV8kp6GM-H19aNOcprF/view?usp=sharing
,Backend LLD: Concurrency-1: Introduction to Processes and Threads,https://github.com/kanmaytacker/fundamentals/blob/sql-march-2023/os/notes/01-os-primer.md,https://drive.google.com/file/d/1kVXB1pE_k0tIzKnFPb_5-UrYDWrSAGXW/view?usp=drive_link,,https://drive.google.com/file/d/1jeONFf6Dl12tg0AM404nCBW1cJVjqMDG/view?usp=drive_link
,Backend LLD: Concurrency-2: Executors and Callables,https://github.com/kanmaytacker/fundamentals/blob/sql-march-2023/os/notes/threads-consolidated.md,https://drive.google.com/file/d/1bEGpR6HzEy1oZgIYZiRawwyoEHzGGgxH/view?usp=drive_link,,https://drive.google.com/file/d/1qTV2XUAHMofRqo--jRH2Ft_oPG76HgVt/view?usp=drive_link
,"Backend LLD: Concurrency-3: Introduction to Synchronization - 
Mutex, synchronized keyword, Atomic Data Types, Concurrent DS",https://github.com/kanmaytacker/fundamentals/blob/sql-march-2023/os/notes/04-synchronisation.md,https://drive.google.com/file/d/1z5_OHJpfZKP1emeNq2rTat30F7rvrHF0/view?usp=drive_link,,https://drive.google.com/file/d/1-hX2-gFc57k3Ta-yFKspSHmKSt0rAwpK/view?usp=drive_link
,Backend LLD: Concurrency-4: Synchronization with Semaphores,https://github.com/kanmaytacker/fundamentals/blob/sql-march-2023/os/notes/03-thread-synchronisation.md,https://drive.google.com/file/d/1mxAwaK1A2Rn3sgybTV77hrmUY5NsVTQm/view?usp=drive_link,,https://drive.google.com/file/d/1mbZTWD3L5dVB3WCwDXjiA-RAWVCNc6BX/view?usp=drive_link
,Backend LLD: Concurrency-Async (Extra),NA,-,-,https://drive.google.com/file/d/107SnovMTx7Xko6qzzUKKtKWGv44W1XF3/view?usp=drive_link
